Candidato,Partido,Votos
Adriano_do_Baldy,"PP,415"
Aecio_Neves,"PSDB,282"
Aelton_Freitas,"PP,256"
AJ_Albuquerque,"PP,393"
Alexandre_Frota,"PSDB,298"
Angela_Amin,"PP,450"
Beto_Pereira,"PSDB,379"
Caca_Leao,"PP,332"
Charlles_Evangelista,"PP,264"
Christiane_de_Souza_Yared,"PP,332"
Christino_Aureo,"PP,424"
Claudio_Cajado,"PP,402"
Covatti_Filho,"PP,428"
Cristiano_Vale,"PP,319"
Da_Vitoria,"PP,337"
Dagoberto_Nogueira,"PSDB,298"
Daniel_Trzeciak,"PSDB,394"
Dimas_Fabiano,"PP,420"
Dr._Luiz_Ovando,"PP,305"
Eduardo_Cury,"PSDB,433"
Eduardo_da_Fonte,"PP,396"
Eliza_Virginia,"PP,80"
Evair_Vieira_de_Melo,"PP,440"
Fausto_Pinato,"PP,410"
Fernando_Monteiro,"PP,400"
Franco_Cartafina,"PP,381"
Hiran_Goncalves,"PP,332"
Jaqueline_Cassol,"PP,409"
Joice_Hasselmann,"PSDB,371"
Laercio_Oliveira,"PP,386"
Lazaro_Botelho,"PP,86"
Lucas_Redecker,"PSDB,483"
Luiz_Antonio_Correa,"PP,372"
Luiz_Carlos,"PSDB,235"
Margarete_Coelho,"PP,381"
Mario_Negromonte_Jr.,"PP,380"
Marx_Beltrao,"PP,247"
Mauro_Lopes,"PP,257"
Neri_Geller,"PP,185"
Nilson_Pinto,"PSDB,317"
Norma_Ayub,"PP,269"
Osmar_Serraglio,"PP,450"
Paulo_Abi-Ackel,"PSDB,217"
Pedro_Augusto_Palareti,"PP,198"
Pedro_Cunha_Lima,"PSDB,178"
Pedro_Lupion,"PP,299"
Pedro_Vilela,"PSDB,371"
Pedro_Westphalen,"PP,456"
Pinheirinho,"PP,261"
Ricardo_Barros,"PP,396"
Ronaldo_Carletto,"PP,442"
Samuel_Moreira,"PSDB,461"
Sheridan,"PSDB,271"
Tereza_Cristina,"PP,307"
Vanderlei_Macris,"PSDB,392"
Vitor_Lippi,"PSDB,429"
Carlos_Sampaio,"PSDB,470"
Felicio_Laterca,"PP,342"
Guilherme_Mussi,"PP,244"
Leda_Sadala,"PP,163"
Lourival_Gomes,"PP,262"
Marcelo_Aro,"PP,222"
Marco_Brasil,"PP,92"
Neucimar_Fraga,"PP,242"
Vicentinho_Junior,"PP,251"
Adolfo_Viana,"PSDB,273"
Afonso_Hamm,"PP,329"
Aguinaldo_Ribeiro,"PP,324"
Andre_Abdon,"PP,344"
Atila_Lira,"PP,389"
Doutor_Luizinho,"PP,271"
Eduardo_Barbosa,"PSDB,484"
Geovania_de_Sa,"PSDB,381"
Jeronimo_Goergen,"PP,284"
Andre_Fufuca,"PP,175"
Beto_Rosado,"PP,372"
Celina_Leao,"PP,238"
Jose_Nelto,"PP,122"
Arthur_Lira,"PP,290"
Bia_Cavassa,"PSDB,125"
Bruna_Furlan,"PSDB,148"
Capitao_Derrite,"PP,104"
Celio_Silveira,"PSDB,131"
Danilo_Forte,"PSDB,87"
Domingos_Savio,"PSDB,112"
Iracema_Portella,"PP,125"
Julio_Lopes,"PP,85"
Mariana_Carvalho,"PSDB,138"
Miguel_Haddad,"PSDB,75"
Professor_Alcides,"PP,111"
Ricardo_Izar,"PP,66"
Rodrigo_de_Castro,"PSDB,122"
Rose_Modesto,"PSDB,122"
Rossoni,"PSDB,150"
Ruy_Carneiro,"PSDB,147"
Tereza_Nelma,"PSDB,114"
Atila_Lins,"PP,113"
Mara_Rocha,"PSDB,123"
Rodrigo_Maia,"PSDB,21"
Otavio_Leite,"PSDB,84"
Roman,"PP,41"
Patrick_Dorneles,"PSDB,10"
